variable,wavenumber,VIP_comp1,VIP_comp2,VIP_comp3,VIP_max
wn_1277.76,1277.76,1.2119439277657613,1.1474947064171523,1.0950243328284952,1.2119439277657613
wn_1536.41,1536.41,0.5662338921873922,1.2111970656918063,1.2077536793889248,1.2111970656918063
wn_1677.31,1677.31,0.5748427350000415,1.2111013730129059,1.18208604951005,1.2111013730129059
wn_1547.99,1547.99,0.5537318999680068,1.2110309228703298,1.201813983829664,1.2110309228703298
wn_1546.06,1546.06,0.5559175426115285,1.210244733770683,1.2013501606784365,1.210244733770683
wn_1538.34,1538.34,0.5693914116279126,1.2100140517136986,1.20473770394399,1.2100140517136986
wn_1279.69,1279.69,1.2098742464200947,1.1480005038022176,1.0948503821373792,1.2098742464200947
wn_1544.13,1544.13,0.5612371745567151,1.2097132420105254,1.2013914073692602,1.2097132420105254
wn_1540.27,1540.27,0.5709506691647086,1.209417115134367,1.2027959352110646,1.209417115134367
wn_1542.2,1542.2,0.5676397395586824,1.2093936492723532,1.2018160073578252,1.2093936492723532
wn_1603.96,1603.96,1.2087621771834909,1.1165289923683845,1.053282367133557,1.2087621771834909
wn_1493.94,1493.94,0.73281270241901,0.7483080539583599,1.20752852106276,1.20752852106276
wn_1281.62,1281.62,1.2060680579895864,1.1476575603367742,1.0939938139669503,1.2060680579895864
wn_1688.89,1688.89,1.0429001742893738,1.2053593129133602,1.193319099455756,1.2053593129133602
wn_2972.44,2972.44,1.2045984010267563,0.9653773137608398,0.9349884754675334,1.2045984010267563
wn_3009.12,3009.12,1.20440537136502,0.9640603399195892,1.002711320610032,1.20440537136502
wn_1187.05,1187.05,1.204290348863647,1.1373253088079804,1.0801027726204777,1.204290348863647
wn_1675.38,1675.38,0.498635121779247,1.2040860780967801,1.1720285641705248,1.2040860780967801
wn_1569.22,1569.22,0.35081132034779994,1.2009465860741542,1.2019566873996914,1.2019566873996914
wn_1576.94,1576.94,1.2016564392273836,1.1119850858369789,1.0597073427363313,1.2016564392273836
wn_1283.56,1283.56,1.1995269456038133,1.1461596084027692,1.092162301541723,1.1995269456038133
wn_1690.82,1690.82,1.0893197072666545,1.1963419876408286,1.1866644321635407,1.1963419876408286
wn_1673.45,1673.45,0.4349043669516463,1.1961710363698923,1.161380587302505,1.1961710363698923
wn_1617.47,1617.47,0.482246989601815,1.1945168628990948,1.1476324639781834,1.1945168628990948
wn_1619.4,1619.4,0.38752102319762843,1.193867209188354,1.1489232200821449,1.193867209188354
wn_1117.56,1117.56,1.0698685514637334,1.1934479540324625,1.126666298670508,1.1934479540324625
wn_2970.51,2970.51,1.1932713118629694,0.9565706682523857,0.9251226788103042,1.1932713118629694
wn_3011.05,3011.05,1.1931460202075392,0.9555210902693354,0.9987254226641589,1.1931460202075392
wn_1615.54,1615.54,0.5864150143045733,1.1919878599485598,1.1426246532961486,1.1919878599485598
wn_1621.33,1621.33,0.3008026632397459,1.1910513770079802,1.147565937034164,1.1910513770079802
wn_1285.49,1285.49,1.1894056576241157,1.1432824440107419,1.0891345994857782,1.1894056576241157
wn_1671.52,1671.52,0.38282660687460246,1.1878541124483504,1.1506666255245912,1.1878541124483504
wn_1623.26,1623.26,0.22174936231179468,1.187018352629364,1.144579005622222,1.187018352629364
wn_1613.61,1613.61,0.700141675020731,1.1859561105553826,1.1336580206264062,1.1859561105553826
wn_1692.75,1692.75,1.124460853076873,1.1852473842960254,1.178251731239912,1.1852473842960254
wn_3012.98,3012.98,1.1827422326336454,0.9478779528184207,0.994970871729174,1.1827422326336454
